title,start_date,votes,replies,url
How can I start learning Unity fast? ( List Of Tutorials ),"Mar 15, 2017 8:46:54 AM",110,11,https://answers.unity3d.com/questions/12321/how-can-i-start-learning-unity-fast-list-of-tutori.html
What are the Syntax Differences in C# and Javascript?,"Nov 26, 2014 9:17:30 PM",85,6,https://answers.unity3d.com/questions/12911/what-are-the-syntax-differences-in-c-and-javascrip.html
How do I use layermasks?,"May 25, 2017 7:14:59 AM",81,9,https://answers.unity3d.com/questions/8715/how-do-i-use-layermasks.html
How do I pause my game?,"Oct 20, 2017 1:53:28 PM",81,22,https://answers.unity3d.com/questions/7544/how-do-i-pause-my-game.html
Application.LoadLevel() changes lighting for some reason?,"Oct 7, 2017 1:26:47 PM",70,13,https://answers.unity3d.com/questions/919940/applicationloadlevel-changes-lighting-for-some-rea.html
"Game Asset Website List (Free and Paid) (Textures, Models, Packs, etc)","Oct 31, 2017 7:33:00 AM",68,34,https://answers.unity3d.com/questions/16650/game-asset-website-list-free-and-paid-textures-mod.html
Which game portal websites accept Unity webplayers?,"Sep 16, 2017 2:01:48 PM",68,30,https://answers.unity3d.com/questions/7558/which-game-portal-websites-accept-unity-webplayers.html
Creating a Circular Progressbar / Timer,"Aug 29, 2017 6:07:56 PM",66,4,https://answers.unity3d.com/questions/14770/creating-a-circular-progressbar-timer.html
Best strategies for not accidently editing whilst still running,"Aug 25, 2015 9:29:16 AM",65,8,https://answers.unity3d.com/questions/9159/best-strategies-for-not-accidently-editing-whilst.html
Database (SQLite) Setup for Unity,"Sep 26, 2017 9:34:08 AM",63,0,https://answers.unity3d.com/questions/743400/database-sqlite-setup-for-unity.html
How to script a Save/Load game option,"Feb 26, 2017 6:29:12 PM",63,20,https://answers.unity3d.com/questions/8480/how-to-scrip-a-saveload-game-option.html
what's the best way to reduce draw calls?,"Jul 29, 2017 12:09:50 PM",55,8,https://answers.unity3d.com/questions/14578/whats-the-best-way-to-reduce-draw-calls.html
Where can I find music or sound effects for my games?,"Sep 11, 2017 7:13:42 AM",50,53,https://answers.unity3d.com/questions/7743/where-can-i-find-music-or-sound-effects-for-my-gam.html
Breaking a prefab connection,"Oct 29, 2017 12:31:44 AM",48,7,https://answers.unity3d.com/questions/11138/breaking-a-prefab-connection.html
How do I report bugs against answers.unity3d.com?,"Jan 29, 2015 5:20:30 PM",47,120,https://answers.unity3d.com/questions/118293/how-do-i-report-bugs-against-answersunity3dcom.html
How can I know if a gameObject is 'seen' by a particular camera?,"Jul 14, 2017 9:18:44 PM",46,8,https://answers.unity3d.com/questions/8003/how-can-i-know-if-a-gameobject-is-seen-by-a-partic.html
"What is the general use of Awake(), Start(), Update(), FixedUpdate(), LateUpdate()?","Aug 29, 2017 7:20:39 PM",45,6,https://answers.unity3d.com/questions/10189/what-is-the-general-use-of-awake-start-update-fixe.html
Update/FixedUpdate motion stutter (Note: This is NOT a novice deltaTime question),"Oct 30, 2017 10:36:45 PM",43,14,https://answers.unity3d.com/questions/275016/updatefixedupdate-motion-stutter-not-another-novic.html
GUI best pratices?,"Jun 16, 2016 5:44:46 AM",40,6,https://answers.unity3d.com/questions/17289/whats-the-right-way-to-code-a-gui.html
Is Unity3d banned by new Apple SDK licence?,"Nov 30, 2012 8:56:09 AM",39,14,https://answers.unity3d.com/questions/14732/is-unity3d-banned-by-new-apple-sdk-licence.html
How can I find editor log file?,"Sep 29, 2016 10:34:47 PM",39,4,https://answers.unity3d.com/questions/9739/how-can-i-find-editor-log-file.html
Open Multiple Unity Projects Simultaneously,"Aug 21, 2017 3:20:46 PM",37,9,https://answers.unity3d.com/questions/8408/open-multiple-projects.html
Does Unity support Inheritance and Subclassing?,"Sep 3, 2015 9:19:13 PM",37,8,https://answers.unity3d.com/questions/7614/does-unity-support-inheritance-and-subclassing.html
GameObject.Find() work on inactive objects,"Oct 30, 2017 9:56:12 AM",36,14,https://answers.unity3d.com/questions/52560/gameobjectfind-work-on-inactive-objects.html
"How can I display a flat background - 2D image, not a skybox - behind everything in my camera?","Aug 29, 2017 7:14:37 PM",35,4,https://answers.unity3d.com/questions/9729/how-can-i-display-a-flat-background-2d-image-not-a.html
How do you use a pool of objects rather than creating and destroying repeatedly?,"Jun 8, 2015 7:45:54 AM",34,8,https://answers.unity3d.com/questions/7877/how-do-you-use-a-pool-of-objects-rather-than-creat.html
Android: 'back' button event,"Jun 23, 2017 9:00:57 PM",33,1,https://answers.unity3d.com/questions/25535/android-back-button-event.html
Messy Alpha Problem - White around edges,"Sep 25, 2017 3:32:50 AM",33,11,https://answers.unity3d.com/questions/10302/messy-alpha-problem-white-around-edges.html
Debug.Log(); or print();? What's the difference and when to use what?,"Jul 13, 2016 7:58:16 PM",33,3,https://answers.unity3d.com/questions/10108/debuglog-or-print-whats-the-difference-and-when-to.html
Game architecture best practices,"Jun 29, 2017 7:55:48 AM",32,3,https://answers.unity3d.com/questions/31272/game-architecture-best-practices.html
Change size of the new UI rect transform using scripts,"Aug 7, 2017 2:32:24 PM",31,0,https://answers.unity3d.com/questions/775779/change-size-of-the-new-ui-rect-transform-using-scr.html
How can I get a parent GameObject of gameObject using Javascript?,"Dec 31, 2016 5:37:43 AM",31,5,https://answers.unity3d.com/questions/12301/how-can-i-get-a-parent-gameobject-of-gameobject-us.html
How can I access the children of a Transform?,"Apr 19, 2015 10:12:35 PM",31,4,https://answers.unity3d.com/questions/10417/how-can-i-access-the-children-of-a-transform.html
API help in Visual Studio?,"Sep 24, 2017 3:15:21 PM",30,6,https://answers.unity3d.com/questions/139547/api-help-in-visual-studio.html
How to declare and use a enum variable in Javascript?,"Mar 31, 2014 6:33:36 AM",30,2,https://answers.unity3d.com/questions/15250/how-to-declare-and-use-a-enum-variable-in-javascri.html
"How should I decide if I should use C#, JavaScript (UnityScript) or Boo for my project?","Jan 24, 2017 8:41:40 AM",30,14,https://answers.unity3d.com/questions/7528/how-should-i-decide-if-i-should-use-c-javascript-u.html
I created an UI button but click does not work.,"Oct 28, 2017 12:42:13 PM",29,23,https://answers.unity3d.com/questions/889908/i-created-an-ui-button-but-click-does-not-work.html
Unity3D and C# - Coroutines vs threading,"Sep 6, 2017 3:36:24 PM",29,4,https://answers.unity3d.com/questions/357033/unity3d-and-c-coroutines-vs-threading.html
What is the purpose of ScriptableObject versus normal class?,"Jun 30, 2017 7:42:14 PM",29,3,https://answers.unity3d.com/questions/190350/what-is-the-purpose-of-scriptableobject-versus-nor.html
How to design your code architecture in unity?,"Feb 7, 2017 11:05:05 AM",28,5,https://answers.unity3d.com/questions/365770/how-to-design-your-code-architecture-in-unity.html
Change the default script template?,"Feb 19, 2017 2:22:41 AM",28,4,https://answers.unity3d.com/questions/120957/change-the-default-script-template.html
How to generate a random number inside Unity?,"Jan 30, 2013 5:39:52 AM",28,7,https://answers.unity3d.com/questions/7722/how-to-generate-a-random-number-inside-unity.html
LookAt 2D Equivalent ?,"Oct 4, 2017 9:47:27 AM",27,14,https://answers.unity3d.com/questions/585035/lookat-2d-equivalent-.html
Nested coroutines,"Sep 21, 2016 1:03:53 PM",27,5,https://answers.unity3d.com/questions/14081/nested-coroutines.html
How do I ask a good Question?,"Sep 22, 2012 1:30:32 PM",26,5,https://answers.unity3d.com/questions/133869/how-to-ask-a-good-question.html
How to save a picture (take screenshot) from a camera in game?,"Sep 26, 2017 3:12:17 PM",26,11,https://answers.unity3d.com/questions/22954/how-to-save-a-picture-take-screenshot-from-a-camer.html
4.6 UI How to apply OnClick handler for button generated at runtime (script)?,"Nov 29, 2016 5:10:29 AM",25,0,https://answers.unity3d.com/questions/791573/46-ui-how-to-apply-onclick-handler-for-button-gene.html
How do I block touch events from propagating through Unity.UI ?,"Aug 28, 2017 4:20:04 AM",25,7,https://answers.unity3d.com/questions/784617/how-do-i-block-touch-events-from-propagating-throu.html
Can the Unity editor break out of an infinite loop in a script?,"Apr 27, 2017 4:57:58 PM",25,13,https://answers.unity3d.com/questions/32826/can-the-unity-editor-break-out-of-an-infinite-loop.html
"Why do I ""Save Project""?","Sep 4, 2015 11:02:11 AM",25,0,https://answers.unity3d.com/questions/16849/why-do-i-save-project.html
What are some good scripting habits?,"Feb 25, 2015 10:06:26 AM",25,3,https://answers.unity3d.com/questions/15713/what-are-some-good-scripting-habits.html
What do the dotted-square button and R button on a Rect Transform do?,"Aug 24, 2016 11:15:45 AM",24,2,https://answers.unity3d.com/questions/984328/what-do-the-dotted-square-button-and-r-button-on-a.html
[4.6 - UI] Changing the text component via script?,"Apr 11, 2016 7:30:39 PM",24,6,https://answers.unity3d.com/questions/777335/46-ui-changing-the-text-component-via-script.html
"""UnityEditor"" namespace not found...","Aug 13, 2017 12:19:45 PM",24,9,https://answers.unity3d.com/questions/316805/unityeditor-namespace-not-found.html
What is a Null Reference Exception In Unity.,"May 17, 2017 9:54:06 PM",24,4,https://answers.unity3d.com/questions/47830/what-is-a-null-reference-exception-in-unity.html
How to take mono heap dump from unity3d?,"Mar 29, 2012 2:21:56 PM",24,3,https://answers.unity3d.com/questions/19109/how-to-take-mono-heap-dump-from-unity3d.html
What's the difference between Update and FixedUpdate? When are they called?,"Mar 19, 2016 11:59:52 PM",24,5,https://answers.unity3d.com/questions/10993/whats-the-difference-between-update-and-fixedupdat.html
Is there a performance difference between Unity's Javascript and C#?,"May 30, 2015 2:23:06 AM",24,6,https://answers.unity3d.com/questions/7567/is-there-a-performance-difference-between-unitys-j.html
"""Edit>Scene render setting"" menu missing in unity 5","Jul 30, 2015 1:10:59 PM",23,2,https://answers.unity3d.com/questions/841957/editscene-render-setting-menu-missing-in-unity-5.html
Creating Mood and 'Atmosphere' with lighting in Unity?,"Dec 20, 2015 12:44:06 AM",23,6,https://answers.unity3d.com/questions/40674/creating-mood-and-atmosphere-with-lighting-in-unit.html
How do I call a function in another gameObject's script?,"Dec 17, 2016 11:43:57 AM",23,3,https://answers.unity3d.com/questions/7555/how-do-i-call-a-function-in-another-gameobjects-sc.html
"(SOLUTION) How to serialize interfaces, generics, auto-properties and abstract System.Object classes?","Jun 20, 2017 5:17:59 PM",22,2,https://answers.unity3d.com/questions/783456/solution-how-to-serialize-interfaces-generics-auto.html
yield return null vs yield return WaitForEndOfFrame,"Mar 28, 2017 4:07:42 PM",22,2,https://answers.unity3d.com/questions/755196/yield-return-null-vs-yield-return-waitforendoffram.html
How To Get List of Child Game Objects,"Aug 2, 2017 3:32:40 AM",22,11,https://answers.unity3d.com/questions/205391/how-to-get-list-of-child-game-objects.html
Rotate a Vector3 direction,"Apr 26, 2016 12:53:24 AM",22,2,https://answers.unity3d.com/questions/46770/rotate-a-vector3-direction.html
Making a texture,"May 9, 2017 1:29:36 PM",22,1,https://answers.unity3d.com/questions/20461/making-a-texture.html
Unity 3d and Augmented reality,"May 2, 2016 12:44:16 PM",22,11,https://answers.unity3d.com/questions/15215/unity-3d-and-augmented-reality.html
Moving an Object along a Bezier Curve,"Jul 4, 2017 10:47:30 AM",22,3,https://answers.unity3d.com/questions/12689/moving-an-object-along-a-bezier-curve.html
Continuous Integration with Unity?,"Nov 20, 2013 10:22:57 PM",21,3,https://answers.unity3d.com/questions/47183/continuous-integration-with-unity.html
build settings screen  - how to delete old/unused scenes ?,"Feb 24, 2016 11:27:57 PM",21,1,https://answers.unity3d.com/questions/22767/build-settings-screen-how-to-delete-oldunused-scen.html
Instantiate a prefab through code in C#.,"Jul 30, 2017 2:23:47 AM",21,4,https://answers.unity3d.com/questions/12003/instantiate-a-prefab-through-code-in-c.html
how to rotate GUI Textures,"Mar 12, 2017 10:32:09 PM",21,5,https://answers.unity3d.com/questions/11022/how-to-rotate-gui-textures.html
Can I make a MMORPG with unity?,"Jun 14, 2017 8:22:17 AM",21,22,https://answers.unity3d.com/questions/10853/can-i-make-a-mmorpg-with-unity.html
What is a reasonable number of draw calls relative to one hardware configuration ?,"Apr 1, 2015 12:39:27 PM",21,5,https://answers.unity3d.com/questions/9607/what-is-a-reasonable-number-of-draw-calls-relative.html
How do I use Yield in C#?,"Aug 7, 2011 8:07:24 AM",21,3,https://answers.unity3d.com/questions/8135/how-do-i-use-yield-in-c.html
Changing the pivot point of meshes.,"Sep 22, 2017 7:40:48 AM",21,11,https://answers.unity3d.com/questions/7664/changing-the-pivot-point-of-meshes.html
What third party tools and components are available for Unity?,"Jan 24, 2014 10:56:37 PM",21,12,https://answers.unity3d.com/questions/7549/what-third-party-tools-and-components-are-availabl.html
Unity 5 Freezes while building?,"Aug 9, 2017 1:37:20 PM",20,14,https://answers.unity3d.com/questions/918996/unity-5-freezes-while-building.html
