title,excerpt,start_date,votes,status,url
Platforms: Unity Editor for Linux,Create version of Unity Editor for linux. Related idea: Player / Web Player support for Linux: http://feedback.unity3d.com/forums/15... ,"Dec 20, 2010",22597,Started,https://feedback.unity3d.com/suggestions/platforms-unity-editor-for-linu
Editor: Dark skin theme in Free available in options.,It seems petty not to include the dark skin theme in Unity Free. Better would be to have it not as default. Migraine sufferers like ... ,"Jul 03, 2011",11140,,https://feedback.unity3d.com/suggestions/editor-dark-skin-theme-in-free-
Scripting: Save & Load in game,"please add a Save & Load system in unity 3.

for example a script:
Application.SaveGame();
or
Application.LoadGame(); ","Mar 13, 2010",4966,Declined,https://feedback.unity3d.com/suggestions/scripting-save--load-in-game
PixelPerfect 2D Mode,"Please enable a Possibility to Render Pixelperfect Graphics.

Alot of Developers still use Pixelart for their Graphics.
Pixelart ... ","Jun 03, 2015",4796,,https://feedback.unity3d.com/suggestions/pixelperfect-2d-mode
Change font size in Unity Editor,Please add a setting under Unity: Preferences to increase the font size for the text in the Unity Editor Panels and Tabs.    Text re... ,"Feb 22, 2011",4433,Under review,https://feedback.unity3d.com/suggestions/change-font-size-in-unity-editor
Terrain: Voxel-based terrains,"Voxel-based terrains would allow designers to create tunnels, caves, and overhangs without using tricks like portals.  CryEngine 2 u... ","Apr 16, 2009",4003,,https://feedback.unity3d.com/suggestions/terrain-voxelbased-terrains
"Rebrand ""Personal"" to ""Indie""","Replace all branding of the words ""Personal"" and ""Personal Edition"", including the mandatory splash screen, to""Indie"" and ""Indie Edi... ","Mar 03, 2015",3820,Declined,https://feedback.unity3d.com/suggestions/rebrand-personal-to-indie
"Visual Studio ""Code"" integration",Microsoft recently released its multiplatform code editor. It seems promising especially for OSX users. It is native and fast. We wo... ,"Apr 29, 2015",3274,Started,https://feedback.unity3d.com/suggestions/visual-studio-code-integration
F# support,"F# is rapidly gaining popularity in the .NET community. There are several game developers who are using it outside Unity, and even X... ","Jul 28, 2013",3255,,https://feedback.unity3d.com/suggestions/f-support
Platforms: 64-bit Unity Editor,"Unity needs a 64-bit Editor version.
64 bit standalone players are possible since Unity 3.4, and unofficial 64 bit Windows Web Play... ","Sep 29, 2010",3205,Completed,https://feedback.unity3d.com/suggestions/platforms-64bit-unity-editor
"Vulkan support for Android, Linux and Windows","Vulkan is the new generation, open standard API for high-efficiency access to graphics and compute on modern GPUs.

More info:
ht... ","Nov 22, 2015",3170,Started,https://feedback.unity3d.com/suggestions/vulkan-support-for-android-linux-and-windows
support for persian/arabic/RTL language in GUI,The Persian( Farsi ) & Arabic languages ( middle east  languages) need to be added in any parts of unity3d GUI to unity3d can suppor... ,"Oct 27, 2012",3119,,https://feedback.unity3d.com/suggestions/2619--support-for-persian-and-arabic-l
"FBXImporter: Correct orientation, and without GameObject hacks.","FBX imported meshes are rotated 270 on X, yet are still incorrect.  We need FBX imported mesh to be correctly oriented, and without ... ","Jun 07, 2009",2966,Planned,https://feedback.unity3d.com/suggestions/fbximporter-correct-orientation
Serialization of Polymorphic Data Types,"You should be able to Serialize polymorphic data types.  A quick example:

[Serializable] class Base { public int myInt; }
[Serializ... ","Nov 30, 2012",2657,,https://feedback.unity3d.com/suggestions/serialization-of-polymorphic-dat
GUI: Visual GUI editor (like GUIX),Similar to GUIX but as part of the Unity package per default ,"Apr 15, 2009",2405,Completed,https://feedback.unity3d.com/suggestions/gui-visual-gui-editor-like-gui
Graphics: Decal system,"Built-in system for decals (e.g. bullet holes, blood marks, ...), i.e. small ""splats"" of geometry that stick to the existing geometry. ","Apr 12, 2009",2312,Under review,https://feedback.unity3d.com/suggestions/graphics-decal-system
Editor: visual Shader Editor,A node/graph based visual Shader Editor! ,"Apr 15, 2009",2311,Under review,https://feedback.unity3d.com/suggestions/editor-visual-shader-editor
Project Rider C# IDE support,"http://blog.jetbrains.com/dotnet/2016/01/13/project-rider-a-csharp-ide/

This is a brand new C# IDE from JetBrains. Please contact... ","Jan 14, 2016",2248,Planned,https://feedback.unity3d.com/suggestions/project-rider-c-number-ide-support
Scripting: Expose Input Manager settings,"This has many benefits: for one, if you could read the input settings, in-game tutorials would be far better. Right now you have to ... ","Apr 26, 2009",2133,Started,https://feedback.unity3d.com/suggestions/scripting-expose-input-manager-
Reinstate support for Android Live Wallpapers,"Unity supported the creation of Android Live Wallpapers until version 4.0.1. So, for Unity versions 3.4.2 to 4.0.1, the creation of ... ","Jul 27, 2014",2077,,https://feedback.unity3d.com/suggestions/reinstate-support-for-android-live-wallpapers
Improved Unity terrain core engine.,"There are Assets available that make Unity compete with the big AAA engines, like CryEngine, Unreal, Frostbite, etc. Unity could be ... ","Dec 22, 2013",1971,Planned,https://feedback.unity3d.com/suggestions/improved-unity-terrain-core-engine
Editor/Graphics: Fully-featured 2D system,"There are many games using Unity that are 2D. However, there is no real built-in support for 2D games so people tend to 'roll-their-... ","Nov 26, 2009",1893,Completed,https://feedback.unity3d.com/suggestions/editorgraphics-fullyfeatured-
Revert the Forum Back to the Old Look,The old look and feel were one of the best user experiences I've ever had on a forum. The new style is almost completely unusable.  ,"Jul 05, 2016",1843,Completed,https://feedback.unity3d.com/suggestions/revert-the-forum-back-to-the-old-look
Upgrade to Mono 3.0,"Now that Mono 3.0 has been released http://www.mono-project.com/Release_Notes_Mono_3.0
it would be great to have access to all of t... ","Oct 24, 2012",1741,Started,https://feedback.unity3d.com/suggestions/upgrade-to-mono-30
Scripting: Garbage Collection sgen-gc,The current mono garbage collection is sub-standard and requires work around for any title considering console style gameplay.  All ... ,"Sep 17, 2010",1733,Planned,https://feedback.unity3d.com/suggestions/scripting-garbage-collection-sg
Animator Window Zoom,"To my knowledge, there is no zoom functionality in the Animator Window. You can pan, but not zoom. As animation state machines incre... ","Mar 05, 2015",1691,Completed,https://feedback.unity3d.com/suggestions/animator-window-zoom
Editor: Nested Prefabs,"When nesting prefabs inside prefabs, connections to the nested prefabs are lost, and new unique prefabs are created.  As a result, y... ","Sep 30, 2009",1611,Started,https://feedback.unity3d.com/suggestions/editor-nested-prefabs
Ability to change the download directory of the Asset Store,"The title says it all.

We like the asset store ability to tell us if our packages are up to date, so moving them out is not a goo... ","Sep 09, 2013",1605,Planned,https://feedback.unity3d.com/suggestions/ability-to-change-the-download-d
Make 2D work with NavMesh and Terrain,"NavMesh and the terrain system are currently designed to work on the XZ axes, while the 2D system can only work on the XY axes.

I... ","Nov 20, 2013",1487,Under review,https://feedback.unity3d.com/suggestions/make-2d-work-with-navmesh-and-terrain
Editor: 3D mouse (e.g. SpaceNavigator) support,Support 3D mice in the editor (e.g. 3Dconnexion SpaceNavigator). ,"Apr 15, 2009",1443,Started,https://feedback.unity3d.com/suggestions/editor-3d-mouse-eg-spacenavi
Physics: Destructible meshes,please add the ability to create destructible objects using the physx and procedural mesh fragmentation. something like unreal's htt... ,"Mar 08, 2010",1420,,https://feedback.unity3d.com/suggestions/physics-destructible-meshes
