title,excerpt,start_date,votes,status,url
Navigating between input fields with Tab does not enable opportunity to ...,"Steps to reproduce:

1) Open Unity and create a new project
2) Add an empty gameObject in the Hierarchy window
3) In the Inspector w... ","Sep 21, 2017",91,Fixed,https://issuetracker.unity3d.com/issues/navigating-between-input-fields-with-tab-does-not-enable-opportunity-to-insert-the-value
Realtime Lights in VR do not render properly in the right eye with Singl...,"Steps to reproduce:

1. Download and open the attached project
2. Enter Playmode

Expected result: Light is visible on a plane in bo... ","Oct 15, 2017",18,Active,https://issuetracker.unity3d.com/issues/realtime-lights-in-vr-do-not-render-properly-in-the-right-eye-with-single-pass-instanced-turned-on
"[XR] ""Unsupported texture format ..."" error is displayed in the Editor", ,"Oct 05, 2017",23,Fixed,https://issuetracker.unity3d.com/issues/xr-unsupported-texture-format-dot-dot-dot-error-is-displayed-in-the-editor
Game object transform.position is incorrect after Object.Instantiate aft...,"How to reproduce:
1. Download attached project files and open ""test"" Scene
2. Enter Play mode. Notice now the world-space location i... ","Sep 22, 2017",36,Fixed,https://issuetracker.unity3d.com/issues/game-object-transform-dot-position-is-incorrect-after-object-dot-instantiate-after-awake-function-call
UnityWebRequest GetResponseHeaders method returns null on Android devices,"Reproduction steps:
1) Download and open user's attached project
2) Build and run test.unity scene on an Android device
3) Observe l... ","Oct 05, 2017",16,Active,https://issuetracker.unity3d.com/issues/unitywebrequest-getresponseheaders-method-returns-null-on-android-devices
Loading an asset that has an Animator component from an Asset Bundle wit...,"The project provided uses ""Asset Bundle Browser"" tool but  it has anything to do with the bug

To reproduce:
1) Open the attached pr... ","Aug 19, 2017",41,Fixed,https://issuetracker.unity3d.com/issues/loading-an-asset-that-has-an-animator-component-from-an-asset-bundle-with-loadasync-throws-assertion-failed-error
[Android] VideoPlayer stuttering and dropping frames,"How to reproduce:
1. Open stripped project from OC
2. Deploy app to device
3. Click 'Breathing'
4. Click 'What are the benefits?'
5.... ","Jul 14, 2017",76,Fixed,https://issuetracker.unity3d.com/issues/android-videoplayer-stuttering-and-dropping-frames
"WebGL Linear color space, Camera Viewport rect problem in built game","How to reproduce: 
1. Download attached project file and open ""scene"" Scene
2. Change Platform to WebGL
3. In Player Settings, choos... ","Oct 09, 2017",11,Active,https://issuetracker.unity3d.com/issues/webgl-linear-color-space-camera-viewport-rect-problem-in-built-game
"[Xcode 9][iOS] Warning ""Missing Marketing Icon"" is thrown when uploading...","Steps to reproduce:
1. Create an empty project
2. Build to iOS & open in Xcode
3. Set up the project for uploading to iTunes Connect... ","Jun 29, 2017",73,Fixed,https://issuetracker.unity3d.com/issues/xcode-9-ios-warning-missing-marketing-icon-is-thrown-when-uploading-an-app-to-itunes-connect
Crash in Transform::GetSiblingIndex when deleting child GameObject of Pr...,"How to reproduce:
1. Open the attached ""PrefabCrash"" project 
2. Drag and drop ""Options"" Prefab to Hierarchy
3. Expand ""Options"" Pre... ","Jul 13, 2017",44,Fixed,https://issuetracker.unity3d.com/issues/crash-in-transform-getsiblingindex-when-deleting-child-gameobject-of-prefabs-instance-and-applying-changes-to-original-prefab
