title,excerpt,start_date,views,answers,votes,url
How to use Git for Unity3D source control?,"
            What are best practices for using Git source control with Unity 3D, particularly in dealing with the binary nature of Unity 3D projects? Please describe the workflow, what paths would be included in ....
        ",2013-08-14 06:57:26Z,"178,471",10,348,https://stackoverflow.com/questions/18225126/how-to-use-git-for-unity3d-source-control
How to prepare a Unity project for git? [duplicate],"
            What are the steps necessary to prepare a Unity project for committing to a git repository eg. github? I don't want to store unnecessary files (specially temp files and avoid binary formats as much as ...
        ",2014-02-05 09:36:16Z,"73,963",3,120,https://stackoverflow.com/questions/21573405/how-to-prepare-a-unity-project-for-git
How does StartCoroutine / yield return pattern really work in Unity?,"
            I understand the principle of coroutines. I know how to get the standard StartCoroutine / yield return pattern to work in C# in Unity, e.g. invoke a method  returning IEnumerator via StartCoroutine ...
        ",2012-10-17 10:30:48Z,"54,284",4,82,https://stackoverflow.com/questions/12932306/how-does-startcoroutine-yield-return-pattern-really-work-in-unity
How to build Unity3d Plugin for iOS,"
            I have a very tiny Objective-C library built for iOS and I want to export it to Unity. I understand the basic process of writing a csharp wrapper that marshals all the invocations to native library, ...
        ",2013-02-12 14:18:05Z,"22,359",2,53,https://stackoverflow.com/questions/14834626/how-to-build-unity3d-plugin-for-ios
How do we manually fix “ResourceRules.plist: cannot read resources” error after xcode 6.1 upgrade?,"
            We are having the same issue found here, here, here and here

Basically we upgraded to xcode 6.1 and our build are getting the ""ResourceRules.plist: cannot read resources"" error.

We have a Jenkins ...
        ",2014-10-22 20:23:28Z,"27,657",6,48,https://stackoverflow.com/questions/26516442/how-do-we-manually-fix-resourcerules-plist-cannot-read-resources-error-after
How to Work With Different Screen Resolutions,"
            I'm using Unity 4.3.3 for my game. I'm making a game for Android and iOS devices. Since I'm pretty new to unity, I can't seem to find a way to work with different screen resolution.
I'm using c# for ...
        ",2014-01-26 20:55:26Z,"65,212",9,44,https://stackoverflow.com/questions/21369067/how-to-work-with-different-screen-resolutions
Is it possible to simplify an if-statement that checks for a combination?,"
            I'm currently working on adding sound effects to a game, and although my current code is working fine, I'm looking for a way to simplify it.
Basically, each object in the game has a string value ...
        ",2016-04-17 04:19:48Z,"1,590",5,41,https://stackoverflow.com/questions/36672631/is-it-possible-to-simplify-an-if-statement-that-checks-for-a-combination
not finding android sdk (Unity),"
            Error:

Invalid command android
UnityEditor.HostView:OnGUI()
CommandInvokationFailure: 

Unable to list target platforms. Please make sure the android sdk path is correct. See the Console for more ...
        ",2017-03-01 17:39:48Z,"39,622",5,40,https://stackoverflow.com/questions/42538433/not-finding-android-sdk-unity
Unity3d integration with android,"
            I need to create an android application which consists of parts written on Unity3d (animation and so on) and on AndroidSDK (by androidSDK I mean few activities written in java, manifest and resources)
...
        ",2011-10-13 05:31:11Z,"29,292",2,39,https://stackoverflow.com/questions/7749841/unity3d-integration-with-android
What Language is Used To Develop Using Unity,"
            What language does one need to use when programming with Unity? Or is it an API for many languages?

I read through the docs and I guess I missed the point on the language used.

It says it has iOS ...
        ",2011-02-14 07:16:41Z,"37,089",9,37,https://stackoverflow.com/questions/4989689/what-language-is-used-to-develop-using-unity
Working with Unity3D and Visual Studio 2013,"
            how do i get Unity3D for debugging the code, and Visual Studio 2013 which i have now to only script the code. Example: Like Flash Professional for debugging and FlashDevelop for scripting only.

My ...
        ",2013-11-10 12:45:38Z,"35,817",7,35,https://stackoverflow.com/questions/19889848/working-with-unity3d-and-visual-studio-2013
Getting “giggly” effect when slowly moving a sprite,"
            How do I remove this ""giggly"" effect when slowly moving a sprite? 

I have tried adjusting Antialiasing values in QualitySettings and Filter Mode in ImportSettings in the Unity Editor but that doesn't ...
        ",2016-03-03 23:40:13Z,"1,443",2,34,https://stackoverflow.com/questions/35785291/getting-giggly-effect-when-slowly-moving-a-sprite
C# game development after XNA [closed],"
            I am a game developer who made games in .Net languages with XNA for the past four versions of it. Unfortunately now there's this news: http://www.gamasutra.com/view/news/185894/...
        ",2012-05-23 05:40:56Z,"37,186",10,33,https://stackoverflow.com/questions/10714091/c-sharp-game-development-after-xna
"Unity, Torque3D, Google O3D, WebGl…which to choose? [closed]","
            for development of interactive 3d web applications, which engine is recommended?

I am aware that WebGL has been anounced to become standarized for all browsers in the near future (1~2 years).

I am ...
        ",2009-11-13 23:52:08Z,"11,099",17,32,https://stackoverflow.com/questions/1732634/unity-torque3d-google-o3d-webgl-which-to-choose
Ignoring folder meta files on version control,"
            Unity creates and deletes meta files for folders inside the Asset folder.

That can create an annoying situation when using version control (that you can skip and go to the questions): someone creates ...
        ",2013-10-03 05:12:39Z,"23,711",2,32,https://stackoverflow.com/questions/19151247/ignoring-folder-meta-files-on-version-control
Why is Unity ignoring the initialized value of a non-static public field?,"
            I'm using InvokeRepeating() to call a method in a game. I call InvokeRepeating() in the Start() method of one of the GameObject  classes. To set the repeatRate parameter for InvokeRepeating(), I am ...
        ",2016-03-02 10:23:25Z,"2,620",1,30,https://stackoverflow.com/questions/35744405/why-is-unity-ignoring-the-initialized-value-of-a-non-static-public-field
Occlusion in Tango AR Camera,"
            I have a simple Tango Unity app which uses the Tango AR Camera prefab to display a 3D object in augmented reality.

Following this question, I wanted to try out the occlusion feature provided by ...
        ",2016-06-21 07:38:20Z,"2,053",4,30,https://stackoverflow.com/questions/37938275/occlusion-in-tango-ar-camera
How to avoid two files in project view when creating a custom importer in Unity3D?,"
            NOTE: I'm casting a wider net than Unity Answers, my original question can be found here.

I've created a ProTools CueSheet importer. It uses OnPostprocessAllAssets() to detect a files in the project ...
        ",2015-04-27 04:21:30Z,554,2,29,https://stackoverflow.com/questions/29887162/how-to-avoid-two-files-in-project-view-when-creating-a-custom-importer-in-unity3
Understanding scenes in Unity3d,"
            I have some confusion with scenes in Unity3d and I was not able to find any resources about them.
When should scenes be used? For example in a platformer would every level have to be a different ...
        ",2014-01-04 04:19:59Z,"13,570",2,28,https://stackoverflow.com/questions/20916826/understanding-scenes-in-unity3d
Unity singleton manager classes,"
            In Unity, whats a good way to create a singleton game manager that can be accessed everywhere as a global class with static variables that will spit the same constant values to every class that pulls ...
        ",2012-12-05 18:38:37Z,"18,917",6,28,https://stackoverflow.com/questions/13730112/unity-singleton-manager-classes
“A namespace cannot directly contain members such as fields or methods” in Net.Reflector [closed],"
            I am trying to use this code for NET.reflector. Using Reflexil, I am trying to replace code with this,

if(Input.GetKeyDown(KeyCode.Keypad5)) { 
int i = 0; 
Character localPlayer = PlayerClient....
        ",2014-01-17 00:40:06Z,"95,182",1,27,https://stackoverflow.com/questions/21175781/a-namespace-cannot-directly-contain-members-such-as-fields-or-methods-in-net-r
Unity 4.6 - How to scale GUI elements to the right size for every resolution,"
            The new Unity 4.6 comes with a new GUI, when I change de resolution on Unity the UI Button scales perfectly but when I test on the Nexus 7 device the Button looks too small. Any idea how to solve this?...
        ",2014-08-25 00:12:03Z,"69,728",5,26,https://stackoverflow.com/questions/25477492/unity-4-6-how-to-scale-gui-elements-to-the-right-size-for-every-resolution
"ant jar error: Execute failed: java.io.IOException: Cannot run program…${aapt}"": error=2, No such file or directory","
            I'm trying to compile a simple Java library for Unity, and after running ant jar, I get the following message:

/Applications/adt-bundle-mac-x86_64-20140702/sdk/tools/ant/build.xml:649: The following ...
        ",2015-06-12 21:58:47Z,"11,358",2,26,https://stackoverflow.com/questions/30812770/ant-jar-error-execute-failed-java-io-ioexception-cannot-run-program-aapt
Building Player Baking Runtime Android Forever Loading,"
            I've been building an Android app on Unity with 3 scenes. The first 2 scenes work perfectly but the last scene was giving me trouble. The game kept crashing on that scene

So while checking out the ...
        ",2015-05-06 02:09:38Z,"1,204",2,26,https://stackoverflow.com/questions/30066277/building-player-baking-runtime-android-forever-loading
Unity Android Build Error WIN32 Exception ZipAlign,"
            Every time I try to build my game for android, I get this error:

Error building Player: Win32Exception: 
ApplicationName='.../.../.../.../adt-bundle-mac-x86_64-20140624/sdk/tools/zipalign',
...
        ",2014-07-01 03:09:01Z,"24,417",6,24,https://stackoverflow.com/questions/24501944/unity-android-build-error-win32-exception-zipalign
Debugging with unity,"
            At the current moment, what I'm doing is that I'm opening Unity, double click on one of those scripts I've written, then MonoDevelop gets opened, now I have to close unity and in MonoDevelop I do Run &...
        ",2012-05-27 16:05:12Z,"10,310",15,24,https://stackoverflow.com/questions/10775363/debugging-with-unity
How to write a GUI editor for Graph or Tree structures,"
            Unity3D's Mecanim animations system has a custom EditorWindow that allows to define a tree (a blend tree in this case) thorough GUI.

It looks like:
It offers the possibility of creating nodes (...
        ",2013-07-11 12:14:13Z,"19,898",5,24,https://stackoverflow.com/questions/17593101/how-to-write-a-gui-editor-for-graph-or-tree-structures
How to write thread-safe C# code for Unity3D?,"
            I'd like to understand how to write thread safe code.

For example I have this code in my game:

bool _done = false;
Thread _thread;

// main game update loop
Update()
{
    // if computation done ...
        ",2017-04-07 09:39:18Z,"3,034",6,23,https://stackoverflow.com/questions/43274759/how-to-write-thread-safe-c-sharp-code-for-unity3d
Android and Unity 3D game development,"
            I am starting to explore the game development using unity 3d for android. I have downloaded the trial version of unity 3.3. I went through few tutorials.

I have one question that is not answered. In ...
        ",2011-06-28 12:02:29Z,"18,809",4,23,https://stackoverflow.com/questions/6506099/android-and-unity-3d-game-development
Can you recomment a better IDE for Unity C# coding? [closed],"
            The current version of Unity uses the old MonoDevelop 2.8 which is very primitive. Not only that it cannot register compile errors, I am also unable to know which method I can use. Each time I want to ...
        ",2013-06-07 12:40:18Z,"27,782",3,23,https://stackoverflow.com/questions/16984392/can-you-recomment-a-better-ide-for-unity-c-sharp-coding
Serialize and Deserialize Json and Json Array in Unity,"
            I have a list of items send from a PHP file to unity using WWW. The WWW.text looks like [{""playerId"":""1"",""playerLoc"":""Powai""},{""playerId"":""2"",""playerLoc"":""Andheri""},{""playerId"":""3"",""playerLoc"":""...
        ",2016-03-26 19:13:21Z,"22,288",5,22,https://stackoverflow.com/questions/36239705/serialize-and-deserialize-json-and-json-array-in-unity
"In unity3D, Click = Touch?","
            I want to detect click/touch event on my gameObject 2D. 

And this is my code:

void Update()
{
   if (Input.touchCount > 0)
   {
     Debug.Log(""Touch"");
   }
}
Debug.Log(""Touch""); does not show ...
        ",2014-03-17 15:56:07Z,"42,605",3,22,https://stackoverflow.com/questions/22459112/in-unity3d-click-touch
Asynchronous methods in using statement,"
            Note: I'm using C# in Unity, that means version .NET 3.5, so I cannot use await or async keyword..

What will happen to using statement when I put a method in it which works asynchronously?

using (...
        ",2015-11-15 17:55:00Z,"3,067",2,22,https://stackoverflow.com/questions/33722968/asynchronous-methods-in-using-statement
